"begin_date","end_date","fips","type"
1999-09-16,1999-09-18,"23004","High Wind"
1999-09-16,1999-09-17,"50003","Flash Flood"
1999-09-14,1999-09-14,"12031","Thunderstorm Wind"
1999-09-15,1999-09-15,"12025","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12109","Thunderstorm Wind"
1999-09-15,1999-09-15,"12109","Flash Flood"
1999-09-15,1999-09-15,"12109","Thunderstorm Wind"
1999-09-16,1999-09-16,"24011","Tropical Storm"
1999-09-16,1999-09-16,"24006","High Wind"
1999-09-16,1999-09-16,"24007","Tropical Storm"
1999-09-16,1999-09-17,"50014","High Wind"
1999-09-15,1999-09-15,"12024","Hurricane (Typhoon)"
1999-09-16,1999-09-18,"24035","Flash Flood"
1999-09-16,1999-09-16,"42054","High Wind"
1999-09-16,1999-09-16,"42067","High Wind"
1999-09-16,1999-09-16,"24008","High Wind"
1999-09-16,1999-09-16,"24012","High Wind"
1999-09-16,1999-09-16,"24015","High Wind"
1999-09-16,1999-09-16,"24019","High Wind"
1999-09-16,1999-09-16,"42070","High Wind"
1999-09-16,1999-09-16,"42060","High Wind"
1999-09-16,1999-09-16,"42069","High Wind"
1999-09-16,1999-09-16,"42061","High Wind"
1999-09-16,1999-09-16,"42062","High Wind"
1999-09-16,1999-09-16,"42071","High Wind"
1999-09-17,1999-09-17,"01044","Cold/Wind Chill"
1999-09-16,1999-09-16,"24017","Tropical Storm"
1999-09-16,1999-09-16,"24005","Storm Surge/Tide"
1999-09-16,1999-09-16,"24510","Storm Surge/Tide"
1999-09-16,1999-09-18,"23002","High Wind"
1999-09-16,1999-09-18,"23010","High Wind"
1999-09-16,1999-09-17,"50013","High Wind"
1999-09-18,1999-09-18,"27073","Hail"
1999-09-18,1999-09-18,"27073","Hail"
1999-09-18,1999-09-18,"27073","Hail"
1999-09-18,1999-09-18,"27023","Hail"
1999-09-18,1999-09-18,"27023","Hail"
1999-09-19,1999-09-19,"01003","Rip Current"
1999-09-16,1999-09-16,"34010","High Wind"
1999-09-16,1999-09-16,"34001","High Wind"
1999-09-16,1999-09-16,"34007","High Wind"
1999-09-16,1999-09-16,"24025","Storm Surge/Tide"
1999-09-16,1999-09-16,"24014","Tropical Storm"
1999-09-16,1999-09-16,"24018","Tropical Storm"
1999-09-16,1999-09-16,"24016","Tropical Storm"
1999-09-12,1999-09-12,"32003","Flash Flood"
1999-09-16,1999-09-16,"34024","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"34026","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"34033","Flash Flood"
1999-09-16,1999-09-16,"34024","Tropical Storm"
1999-09-16,1999-09-16,"34014","Tropical Storm"
1999-09-16,1999-09-16,"34011","Heavy Rain"
1999-09-16,1999-09-16,"34019","High Wind"
1999-09-16,1999-09-16,"34018","High Wind"
1999-09-16,1999-09-16,"34021","High Wind"
1999-09-16,1999-09-16,"34017","High Wind"
1999-09-16,1999-09-16,"34009","High Wind"
1999-09-16,1999-09-16,"34015","High Wind"
1999-09-16,1999-09-16,"34012","High Wind"
1999-09-16,1999-09-16,"34008","High Wind"
1999-09-16,1999-09-16,"34016","High Wind"
1999-09-16,1999-09-16,"34017","Coastal Flood"
1999-09-16,1999-09-16,"34016","Coastal Flood"
1999-09-16,1999-09-16,"34026","Tropical Storm"
1999-09-16,1999-09-19,"34005","Flash Flood"
1999-09-16,1999-09-16,"34001","Heavy Rain"
1999-09-16,1999-09-16,"34009","Heavy Rain"
1999-09-16,1999-09-16,"34025","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"34025","Tropical Storm"
1999-09-16,1999-09-17,"34007","Flash Flood"
1999-09-16,1999-09-17,"42011","Flash Flood"
1999-09-16,1999-09-17,"42017","Flash Flood"
1999-09-16,1999-09-16,"42025","Flash Flood"
1999-09-16,1999-09-17,"42029","Flash Flood"
1999-09-16,1999-09-16,"34022","High Wind"
1999-09-16,1999-09-16,"34023","High Wind"
1999-09-16,1999-09-16,"34021","Coastal Flood"
1999-09-16,1999-09-18,"34021","Flash Flood"
1999-09-16,1999-09-17,"34023","Flash Flood"
1999-09-16,1999-09-16,"34015","Flash Flood"
1999-09-16,1999-09-17,"34019","Flash Flood"
1999-09-16,1999-09-18,"34035","Flash Flood"
1999-09-16,1999-09-23,"34027","Flash Flood"
1999-09-16,1999-09-16,"34029","Flash Flood"
1999-09-16,1999-09-17,"24011","Flash Flood"
1999-09-16,1999-09-17,"24015","Flash Flood"
1999-09-16,1999-09-17,"24029","Flash Flood"
1999-09-16,1999-09-17,"24041","Flash Flood"
1999-09-16,1999-09-16,"24020","High Wind"
1999-09-16,1999-09-16,"42055","High Wind"
1999-09-16,1999-09-16,"42068","High Wind"
1999-09-16,1999-09-16,"34018","Coastal Flood"
1999-09-16,1999-09-16,"51037","Flash Flood"
1999-09-16,1999-09-16,"51083","Flash Flood"
1999-09-12,1999-09-12,"32003","Flash Flood"
1999-09-16,1999-09-17,"42045","Flash Flood"
1999-09-16,1999-09-16,"42077","Flash Flood"
1999-09-16,1999-09-16,"42089","Flash Flood"
1999-09-16,1999-09-17,"42091","Flash Flood"
1999-09-16,1999-09-16,"42095","Flash Flood"
1999-09-16,1999-09-17,"42101","Flash Flood"
1999-09-16,1999-09-16,"42069","Coastal Flood"
1999-09-16,1999-09-16,"42070","Coastal Flood"
1999-09-16,1999-09-16,"42071","Coastal Flood"
1999-09-16,1999-09-16,"34013","High Wind"
1999-09-16,1999-09-16,"34020","High Wind"
1999-09-16,1999-09-16,"34019","Coastal Flood"
1999-09-16,1999-09-16,"34025","Flash Flood"
1999-09-16,1999-09-16,"34037","Flash Flood"
1999-09-16,1999-09-16,"34041","Flash Flood"
1999-09-14,1999-09-14,"04013","Hail"
1999-09-16,1999-09-16,"04012","Hail"
1999-09-16,1999-09-16,"04012","Hail"
1999-09-16,1999-09-16,"04007","Flood"
1999-09-19,1999-09-19,"04013","Thunderstorm Wind"
1999-09-12,1999-09-12,"48151","Hail"
1999-09-17,1999-09-18,"33005","Flood"
1999-09-12,1999-09-12,"48353","Hail"
1999-09-12,1999-09-12,"48353","Thunderstorm Wind"
1999-09-14,1999-09-14,"04013","Hail"
1999-09-19,1999-09-19,"04013","Hail"
1999-09-19,1999-09-19,"04013","Thunderstorm Wind"
1999-09-14,1999-09-14,"04021","Thunderstorm Wind"
1999-09-14,1999-09-14,"04013","Lightning"
1999-09-19,1999-09-19,"04021","Thunderstorm Wind"
1999-09-15,1999-09-15,"04021","Hail"
1999-09-19,1999-09-19,"04021","Hail"
1999-09-12,1999-09-12,"48441","Flash Flood"
1999-09-12,1999-09-12,"48441","Hail"
1999-09-12,1999-09-12,"48353","Flash Flood"
1999-09-16,1999-09-18,"33003","Flood"
1999-09-16,1999-09-18,"33009","Flash Flood"
1999-09-16,1999-09-16,"39085","Waterspout"
1999-09-13,1999-09-13,"04019","Hail"
1999-09-19,1999-09-19,"04021","Hail"
1999-09-14,1999-09-14,"04013","Thunderstorm Wind"
1999-09-14,1999-09-14,"04013","Hail"
1999-09-14,1999-09-14,"04013","Thunderstorm Wind"
1999-09-19,1999-09-19,"04013","Thunderstorm Wind"
1999-09-19,1999-09-19,"04013","Thunderstorm Wind"
1999-09-15,1999-09-15,"04021","Hail"
1999-09-15,1999-09-15,"04021","Hail"
1999-09-16,1999-09-17,"25001","High Wind"
1999-09-16,1999-09-17,"25003","Flash Flood"
1999-09-15,1999-09-16,"37049","Flash Flood"
1999-09-15,1999-09-16,"37061","Flash Flood"
1999-09-14,1999-09-14,"12061","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12056","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12055","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12060","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37035","High Wind"
1999-09-18,1999-09-18,"31161","Hail"
1999-09-19,1999-09-19,"31031","Hail"
1999-09-15,1999-09-16,"37053","High Wind"
1999-09-15,1999-09-16,"37070","High Wind"
1999-09-16,1999-09-17,"36045","High Wind"
1999-09-14,1999-09-14,"12051","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"42048","High Wind"
1999-09-16,1999-09-17,"36052","High Wind"
1999-09-16,1999-09-17,"36059","High Wind"
1999-09-15,1999-09-16,"37107","Flash Flood"
1999-09-15,1999-09-16,"37071","High Wind"
1999-09-15,1999-09-16,"37064","High Wind"
1999-09-15,1999-09-16,"45009","High Wind"
1999-09-13,1999-09-13,"06073","Flood"
1999-09-15,1999-09-16,"37067","High Wind"
1999-09-15,1999-09-16,"37054","High Wind"
1999-09-14,1999-09-14,"48069","Hail"
1999-09-14,1999-09-15,"48069","Flash Flood"
1999-09-14,1999-09-15,"48069","Flash Flood"
1999-09-14,1999-09-14,"48069","Hail"
1999-09-12,1999-09-12,"05109","Thunderstorm Wind"
1999-09-15,1999-09-16,"37013","Flash Flood"
1999-09-15,1999-09-16,"37079","Flash Flood"
1999-09-15,1999-09-16,"37031","Flash Flood"
1999-09-15,1999-09-16,"37103","Flash Flood"
1999-09-15,1999-09-16,"37133","Flash Flood"
1999-09-14,1999-09-14,"12052","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12062","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12057","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12065","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37082","High Wind"
1999-09-15,1999-09-16,"37069","High Wind"
1999-09-15,1999-09-16,"37062","High Wind"
1999-09-15,1999-09-16,"37019","Flash Flood"
1999-09-16,1999-09-17,"42079","Flash Flood"
1999-09-15,1999-09-16,"45044","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"45040","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"45042","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13137","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-19,1999-09-19,"48485","Lightning"
1999-09-15,1999-09-16,"37187","Flash Flood"
1999-09-15,1999-09-15,"13141","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-12,1999-09-12,"40045","Thunderstorm Wind"
1999-09-14,1999-09-16,"37079","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"42040","High Wind"
1999-09-15,1999-09-16,"45048","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37047","Flash Flood"
1999-09-16,1999-09-16,"37155","Flash Flood"
1999-09-15,1999-09-15,"37141","Tornado"
1999-09-15,1999-09-15,"37129","Tornado"
1999-09-15,1999-09-15,"37129","Tornado"
1999-09-15,1999-09-15,"13115","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13117","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13138","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13087","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"40141","Hail"
1999-09-15,1999-09-16,"45049","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37065","High Wind"
1999-09-16,1999-09-17,"36058","High Wind"
1999-09-16,1999-09-17,"36042","High Wind"
1999-09-15,1999-09-16,"45050","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"48295","Thunderstorm Wind"
1999-09-14,1999-09-14,"48375","Hail"
1999-09-14,1999-09-14,"48375","Thunderstorm Wind"
1999-09-14,1999-09-14,"48359","Hail"
1999-09-14,1999-09-14,"48295","Hail"
1999-09-14,1999-09-14,"48359","Hail"
1999-09-14,1999-09-16,"37098","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37094","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37044","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37046","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37090","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37103","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37104","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"42103","Flash Flood"
1999-09-12,1999-09-12,"40141","Hail"
1999-09-12,1999-09-12,"40151","Thunderstorm Wind"
1999-09-15,1999-09-15,"45075","Thunderstorm Wind"
1999-09-15,1999-09-15,"45003","Thunderstorm Wind"
1999-09-15,1999-09-15,"45037","Thunderstorm Wind"
1999-09-15,1999-09-15,"45017","Thunderstorm Wind"
1999-09-15,1999-09-15,"45055","Thunderstorm Wind"
1999-09-15,1999-09-15,"45085","Thunderstorm Wind"
1999-09-13,1999-09-14,"12074","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13033","Thunderstorm Wind"
1999-09-16,1999-09-17,"36065","High Wind"
1999-09-16,1999-09-17,"36054","High Wind"
1999-09-16,1999-09-17,"36053","High Wind"
1999-09-16,1999-09-17,"36064","High Wind"
1999-09-15,1999-09-16,"37147","Flash Flood"
1999-09-16,1999-09-17,"09001","High Wind"
1999-09-14,1999-09-16,"37029","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37084","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"20141","Hail"
1999-09-12,1999-09-12,"40113","Flash Flood"
1999-09-15,1999-09-16,"37025","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37088","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"36063","High Wind"
1999-09-16,1999-09-17,"36051","High Wind"
1999-09-16,1999-09-17,"36001","Flash Flood"
1999-09-13,1999-09-13,"06035","Funnel Cloud"
1999-09-15,1999-09-15,"12041","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"36043","High Wind"
1999-09-19,1999-09-19,"40017","Hail"
1999-09-16,1999-09-17,"42047","High Wind"
1999-09-14,1999-09-16,"37093","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37129","Flash Flood"
1999-09-14,1999-09-16,"37080","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37095","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"13010","High Wind"
1999-09-15,1999-09-16,"45043","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"36009","High Wind"
1999-09-12,1999-09-12,"40153","Thunderstorm Wind"
1999-09-12,1999-09-12,"40153","Thunderstorm Wind"
1999-09-16,1999-09-17,"36095","Flash Flood"
1999-09-17,1999-09-17,"36095","Flash Flood"
1999-09-15,1999-09-15,"13114","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"40047","Lightning"
1999-09-15,1999-09-15,"13088","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"36093","Flash Flood"
1999-09-16,1999-09-17,"36027","Flash Flood"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-12,1999-09-12,"40139","Hail"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-12,1999-09-12,"40153","Hail"
1999-09-12,1999-09-12,"40153","Thunderstorm Wind"
1999-09-16,1999-09-17,"42044","High Wind"
1999-09-13,1999-09-13,"02015","Heavy Rain"
1999-09-13,1999-09-14,"02015","Flash Flood"
1999-09-16,1999-09-17,"42069","Flash Flood"
1999-09-16,1999-09-17,"36062","High Wind"
1999-09-16,1999-09-17,"36050","High Wind"
1999-09-16,1999-09-17,"36049","High Wind"
1999-09-16,1999-09-17,"36051","High Wind"
1999-09-16,1999-09-17,"36083","Flash Flood"
1999-09-16,1999-09-17,"36111","Flash Flood"
1999-09-16,1999-09-17,"36039","Flash Flood"
1999-09-16,1999-09-17,"36021","Flash Flood"
1999-09-16,1999-09-17,"36111","Flash Flood"
1999-09-16,1999-09-17,"36027","Flash Flood"
1999-09-16,1999-09-17,"42127","Flash Flood"
1999-09-12,1999-09-12,"20175","Flash Flood"
1999-09-12,1999-09-12,"20119","Hail"
1999-09-12,1999-09-12,"20129","Hail"
1999-09-14,1999-09-14,"48195","Hail"
1999-09-14,1999-09-14,"48117","Hail"
1999-09-16,1999-09-16,"02016","High Wind"
1999-09-16,1999-09-17,"02017","High Wind"
1999-09-15,1999-09-16,"37017","Flash Flood"
1999-09-15,1999-09-16,"37141","Flash Flood"
1999-09-15,1999-09-16,"45047","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"36037","High Wind"
1999-09-16,1999-09-17,"36046","High Wind"
1999-09-16,1999-09-17,"36023","High Wind"
1999-09-14,1999-09-14,"48359","Hail"
1999-09-16,1999-09-17,"36057","High Wind"
1999-09-15,1999-09-15,"13101","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13100","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13099","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12046","Hurricane (Typhoon)"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-17,1999-09-17,"12099","Waterspout"
1999-09-13,1999-09-14,"12068","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13118","Hurricane (Typhoon)"
1999-09-13,1999-09-13,"04015","Thunderstorm Wind"
1999-09-18,1999-09-18,"04015","Flash Flood"
1999-09-15,1999-09-16,"37102","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"40129","Hail"
1999-09-19,1999-09-19,"40009","Hail"
1999-09-13,1999-09-14,"12072","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37024","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12045","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"40047","Hail"
1999-09-19,1999-09-19,"40047","Hail"
1999-09-15,1999-09-15,"51590","Flood"
1999-09-16,1999-09-16,"10002","Coastal Flood"
1999-09-16,1999-09-16,"10001","Coastal Flood"
1999-09-16,1999-09-16,"10003","High Wind"
1999-09-16,1999-09-16,"10002","High Wind"
1999-09-16,1999-09-16,"10001","High Wind"
1999-09-16,1999-09-16,"10004","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"10001","Flash Flood"
1999-09-16,1999-09-17,"10003","Flash Flood"
1999-09-15,1999-09-16,"37083","Flash Flood"
1999-09-16,1999-09-17,"09005","Flash Flood"
1999-09-15,1999-09-16,"37040","Hurricane (Typhoon)"
1999-09-13,1999-09-13,"35017","Flash Flood"
1999-09-13,1999-09-13,"35017","Thunderstorm Wind"
1999-09-15,1999-09-17,"51710","Flash Flood"
1999-09-15,1999-09-16,"37007","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"37014","High Wind"
1999-09-15,1999-09-16,"37032","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51131","Flash Flood"
1999-09-15,1999-09-16,"37051","Flash Flood"
1999-09-16,1999-09-16,"37185","Flash Flood"
1999-09-14,1999-09-16,"37045","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37047","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37081","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37016","Hurricane (Typhoon)"
1999-09-16,1999-09-17,"50006","High Wind"
1999-09-15,1999-09-16,"51115","Flash Flood"
1999-09-15,1999-09-17,"51650","Flash Flood"
1999-09-15,1999-09-25,"51620","Flash Flood"
1999-09-17,1999-09-17,"50001","High Wind"
1999-09-16,1999-09-16,"51193","Flash Flood"
1999-09-16,1999-09-17,"37139","Flash Flood"
1999-09-16,1999-09-17,"37143","Flash Flood"
1999-09-17,1999-09-17,"50008","High Wind"
1999-09-16,1999-09-16,"51103","Flash Flood"
1999-09-14,1999-09-16,"37092","Hurricane (Typhoon)"
1999-09-14,1999-09-16,"37091","Hurricane (Typhoon)"
1999-09-16,1999-09-20,"51053","Flash Flood"
1999-09-15,1999-09-16,"37076","Hurricane (Typhoon)"
1999-09-17,1999-09-17,"50004","High Wind"
1999-09-15,1999-09-16,"51800","Flash Flood"
1999-09-16,1999-09-17,"50010","High Wind"
1999-09-16,1999-09-16,"51119","Flash Flood"
1999-09-16,1999-09-16,"51087","Flash Flood"
1999-09-16,1999-09-16,"51025","Flash Flood"
1999-09-16,1999-09-16,"51730","Flash Flood"
1999-09-15,1999-09-18,"37073","Flash Flood"
1999-09-16,1999-09-16,"51057","Flash Flood"
1999-09-16,1999-09-17,"37029","Flash Flood"
1999-09-16,1999-09-16,"51033","Flash Flood"
1999-09-15,1999-09-16,"51084","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51093","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51090","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51078","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37065","Flash Flood"
1999-09-15,1999-09-16,"37069","Flash Flood"
1999-09-18,1999-09-18,"46057","Hail"
1999-09-15,1999-09-23,"51093","Flash Flood"
1999-09-16,1999-09-16,"51595","Flash Flood"
1999-09-16,1999-09-16,"51070","High Wind"
1999-09-16,1999-09-16,"51088","High Wind"
1999-09-16,1999-09-16,"51083","High Wind"
1999-09-13,1999-09-13,"35001","Hail"
1999-09-12,1999-09-12,"35027","Hail"
1999-09-12,1999-09-12,"35047","Hail"
1999-09-13,1999-09-13,"35003","Hail"
1999-09-15,1999-09-16,"37086","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12059","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37038","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"19045","Hail"
1999-09-14,1999-09-14,"04025","Tornado"
1999-09-15,1999-09-16,"37039","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51099","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"51097","Hurricane (Typhoon)"
1999-09-14,1999-09-14,"12099","Tornado"
1999-09-17,1999-09-17,"12086","Funnel Cloud"
1999-09-15,1999-09-15,"45011","Thunderstorm Wind"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-15,1999-09-15,"12033","Hurricane (Typhoon)"
1999-09-19,1999-09-19,"40047","Hail"
1999-09-19,1999-09-19,"40103","Hail"
1999-09-19,1999-09-19,"40047","Hail"
1999-09-15,1999-09-15,"45009","Thunderstorm Wind"
1999-09-15,1999-09-15,"45025","Thunderstorm Wind"
1999-09-15,1999-09-15,"45057","Thunderstorm Wind"
1999-09-15,1999-09-15,"45027","Thunderstorm Wind"
1999-09-15,1999-09-15,"45063","Thunderstorm Wind"
1999-09-15,1999-09-15,"45079","Thunderstorm Wind"
1999-09-15,1999-09-15,"45071","Thunderstorm Wind"
1999-09-15,1999-09-15,"45061","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-19,1999-09-19,"40009","Thunderstorm Wind"
1999-09-19,1999-09-19,"40009","Hail"
1999-09-19,1999-09-19,"40129","Hail"
1999-09-19,1999-09-19,"40129","Hail"
1999-09-15,1999-09-16,"37137","Flash Flood"
1999-09-15,1999-09-15,"45039","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-12,1999-09-12,"40007","Hail"
1999-09-16,1999-09-17,"36066","High Wind"
1999-09-12,1999-09-12,"40007","Thunderstorm Wind"
1999-09-15,1999-09-16,"37117","Flash Flood"
1999-09-15,1999-09-15,"13116","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"35019","Hail"
1999-09-14,1999-09-14,"35041","Thunderstorm Wind"
1999-09-15,1999-09-15,"35041","Hail"
1999-09-14,1999-09-14,"35055","Lightning"
1999-09-15,1999-09-15,"13140","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13119","Hurricane (Typhoon)"
1999-09-15,1999-09-15,"13139","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12054","Hurricane (Typhoon)"
1999-09-14,1999-09-15,"12047","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"10005","Flash Flood"
1999-09-19,1999-09-19,"40103","Hail"
1999-09-19,1999-09-19,"40087","Thunderstorm Wind"
1999-09-19,1999-09-19,"40051","Hail"
1999-09-19,1999-09-19,"40087","Hail"
1999-09-19,1999-09-19,"40051","Hail"
1999-09-18,1999-09-18,"16019","Thunderstorm Wind"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-19,1999-09-19,"12087","Waterspout"
1999-09-16,1999-09-17,"09001","High Wind"
1999-09-15,1999-09-16,"45045","Hurricane (Typhoon)"
1999-09-13,1999-09-13,"35043","Hail"
1999-09-14,1999-09-14,"35041","Hail"
1999-09-14,1999-09-14,"35041","Flash Flood"
1999-09-16,1999-09-16,"51111","Flash Flood"
1999-09-15,1999-09-16,"37191","Flash Flood"
1999-09-15,1999-09-16,"37022","Hurricane (Typhoon)"
1999-09-15,1999-09-16,"37011","Hurricane (Typhoon)"
1999-09-16,1999-09-16,"51570","Flash Flood"
1999-09-15,1999-09-15,"37031","Tornado"
1999-09-17,1999-09-18,"02014","High Wind"
1999-09-17,1999-09-17,"02017","Heavy Rain"
1999-09-16,1999-09-16,"51041","Flash Flood"
1999-09-16,1999-09-16,"25005","High Wind"
1999-09-16,1999-09-16,"37187","Flash Flood"
1999-09-16,1999-09-16,"51097","Flash Flood"
1999-09-16,1999-09-17,"50007","High Wind"
1999-09-15,1999-09-15,"37147","Tornado"
1999-09-12,1999-09-12,"15009","Funnel Cloud"
1999-09-16,1999-09-16,"51127","Flash Flood"
1999-09-15,1999-09-15,"37137","Tornado"
1999-09-15,1999-09-16,"37085","Flash Flood"
1999-09-15,1999-09-16,"37101","Flash Flood"
1999-09-15,1999-09-16,"37127","Flash Flood"
1999-09-15,1999-09-16,"37183","Flash Flood"
